suburb,postcode,incidents_recorded_2014_2023
Combienbar,3889,15
Concongella,3384,69
Condah,3303,27
Congupna,3633,238
Connewarre,3227,186
Coojar,3315,5
Coolaroo,3048,4122
Cooma,3616,39
Coomboona,3629,57
Coomoora,3461,31
Coongulla,3860,122
Coonooer Bridge,3477,11
Coonooer West,3477,5
Cooriemungle,3268,26
Cope Cope,3480,3
Cora Lynn,3814,58
Corack,3480,9
Corack East,3480,4
Coragulac,3249,28
Corindhap,3352,23
Corinella,3984,363
Corio,3214,18643
Corndale,3311,7
Cornella,3551,28
Cornishtown,3683,25
Coronet Bay,3984,446
Corop,3559,94
Cororooke,3254,85
Corringle,3888,13
Corryong,3707,473
Corunnun,3249,13
Cosgrove,3631,17
Cosgrove South,3631,21
Costerfield,3523,43
Cotswold,3465,10
Cottles Bridge,3099,120
Cowa,3862,1
Cowangie,3506,21
Cowes,3922,3703
Cowleys Creek,3268,4
Cowwarr,3857,109
Craigie,3465,23
Craigieburn,3064,27245
Cranbourne,3977,21464
Cranbourne East,3977,6630
Cranbourne North,3977,9635
Cranbourne South,3977,840
Cranbourne West,3977,7519
Creek Junction,3669,6
Creek View,3551,15
Creightons Creek,3666,28
Cremorne,3121,2709
Cressy,3322,109
Creswick,3363,1880
Creswick North,3363,11
Crib Point,3919,1468
Crooked River,3862,6
Cross Roads,3373,6
Crossley,3283,51
Crossover,3821,88
Crowlands,3377,24
Croxton East,3301,12
Croydon,3136,13057
Croydon Hills,3136,705
Croydon North,3136,1688
Croydon South,3136,1664
Crymelon,3393,4
Cudgee,3265,36
Cudgewa,3705,32
Culgoa,3530,28
Culla,3315,3
Cullen,3568,8
Cullulleraine,3496,33
Cundare,3251,2
Cundare North,3251,3
Curdies River,3268,10
Curdievale,3268,20
Curlewis,3222,960
Curyo,3483,4
Dadswells Bridge,3385,57
Daisy Hill,3465,63
Dales Creek,3341,71
Dallas,3047,3840
Dalmore,3981,87
Daltons Bridge,3568,16
Dalyenong,3477,1
Dalyston,3992,386
Dandenong,3175,58099
Dandenong North,3175,10770
Dandenong South,3175,7550
Dandongadale,3737,11
Dargo,3862,153
Darley,3340,2884
Darlimurla,3871,5
Darlington,3271,48
Darnum,3822,305
Darraweit Guim,3756,129
Darriman,3851,10
Dartmoor,3304,75
Dartmouth,3701,47
Dawson,3858,14
Daylesford,3460,1480
Dean,3363,30
Deans Marsh,3235,54
Deanside,3336,570
Deddick Valley,3888,7
Dederang,3691,61
Deep Lead,3385,103
