latitude,longitude,landmark_name,landmark_type,landmark_id,suburb,postcode
-37.81218812,144.935684,Icehouse,Indoor Recreation Facility,37,Docklands,3008
-37.81299207,144.9890626,Darling Square,Informal Outdoor Facility (Park/Garden/Reserve),38,East Melbourne,3002
-37.80985262,144.9734622,Parliament Reserve,Informal Outdoor Facility (Park/Garden/Reserve),39,East Melbourne,3002
-37.799947,144.9432908,North Melbourne Recreation Centre (Aquatic),Major Sports & Recreation Facility,40,North Melbourne,3051
-37.79970512,144.9403683,North Melbourne Recreation Centre (Gymnasium),Gymnasium/Health Club,41,North Melbourne,3051
-37.7934377,144.9716965,Carlton Baths,Indoor Recreation Facility,42,Carlton,3053
-37.785786,144.947581,State Netball Hockey Centre,Major Sports & Recreation Facility,43,Parkville,3052
-37.80041071,144.9603983,University Square,Informal Outdoor Facility (Park/Garden/Reserve),44,Carlton,3053
-37.81169299,144.9872757,Powlett Reserve,Informal Outdoor Facility (Park/Garden/Reserve),45,East Melbourne,3002
-37.821674,144.9881563,Richmond Football Club,Informal Outdoor Facility (Park/Garden/Reserve),46,East Melbourne,3002
-37.82099568,144.9467817,Docklands Park,Informal Outdoor Facility (Park/Garden/Reserve),47,Docklands,3008
-37.82335227,144.9421023,Point Park,Informal Outdoor Facility (Park/Garden/Reserve),48,Docklands,3008
-37.82060514,144.9717961,Alexandra Gardens,Informal Outdoor Facility (Park/Garden/Reserve),49,Melbourne,3004
-37.79883453,144.9414521,North Melbourne Recreation Reserve,Informal Outdoor Facility (Park/Garden/Reserve),50,North Melbourne,3051
-37.78701617,144.9611152,Princes Park,Informal Outdoor Facility (Park/Garden/Reserve),51,Carlton North,3052
-37.80314806,144.9657613,Argyle Square,Informal Outdoor Facility (Park/Garden/Reserve),52,Carlton,3053
-37.80251642,144.9658631,Piazza Italia,Informal Outdoor Facility (Park/Garden/Reserve),53,Carlton,3053
-37.8002735,144.9730593,Murchinson Square,Informal Outdoor Facility (Park/Garden/Reserve),54,Carlton,3065
-37.82424569,144.9797203,Westpac Centre,Major Sports & Recreation Facility,55,Melbourne,3004
